product_id,product_category,sub_type,model_name,capacity_tons,capacity_liters,capacity_kg,capacity_place_settings,technology,feature_1,energy_rating_stars,color,price_inr,manufacturing_date,warranty_years,customer_rating,city,platform,discount_offered,availability,warranty_duration_months,review_sentiment,return_status,complaint_text,resolved_status,review_date,reviewer_location,product_name,username
24,Refrigerator,Side-by-Side,Lloyd GLSF590DGLT1EB,NULL,590,NULL,NULL,Inverter,Super Freeze,NULL,Glass,75000,2023-03-18,1,4.5,Faridabad,Flipkart,20,In Stock,12,Positive,No,NULL,Resolved,2023-04-22,Faridabad,Lloyd 590 L Frost Free Side-by-Side Refrigerator,user334
25,Water Purifier,Alkaline,Gracia,NULL,6.5,NULL,NULL,Alkaline,Hot & Cold,NULL,Black,25000,2023-02-01,1,4.7,Meerut,Tata Cliq,15,In Stock,12,Positive,No,NULL,Resolved,2023-03-08,Meerut,Havells Gracia 6.5-litres Alkaline Water Purifier,user445
26,Fans,Table Fan,Cresent,NULL,NULL,NULL,NULL,NULL,High Air Delivery,NULL,White,1800,2023-06-25,2,4,Rajkot,Amazon,5,In Stock,24,Positive,No,NULL,Resolved,2023-07-30,Rajkot,Havells Cresent 400mm Table Fan,user556
27,Air Cooler,Tower,Celia,NULL,35,NULL,NULL,Honeycomb Pads,Low Noise,NULL,White,7500,2023-05-11,1,4,Jabalpur,Croma,10,In Stock,12,Positive,No,NULL,Resolved,2023-06-15,Jabalpur,Havells Celia 35L Tower Air Cooler,user667
28,Geyser,Gas,Flagro,NULL,6,NULL,NULL,NULL,Overheating Protection,NULL,White,5000,2023-03-28,2,4.2,Jamshedpur,Flipkart,10,In Stock,24,Positive,No,NULL,Resolved,2023-05-02,Jamshedpur,Havells Flagro 6 L Gas Water Heater,user778
29,Kitchen Appliances,Electric Kettle,Aqua Plus,NULL,1.2,NULL,NULL,Double wall,Cool touch body,NULL,Blue,1500,2023-02-12,1,4.4,Asansol,Amazon,8,In Stock,12,Positive,No,NULL,Resolved,2023-03-19,Asansol,Havells Aqua Plus 1.2 litre Electric Kettle,user889
30,Fans,Ceiling Fan,Momenta,NULL,NULL,NULL,NULL,BLDC Motor,Remote Control,5,Brown,4000,2023-01-22,2,4.3,Dhanbad,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-26,Dhanbad,Havells Momenta 1200mm Ceiling Fan,user990
31,Air Conditioner,Split AC,Lloyd GLS12I3FWSV,1,NULL,NULL,NULL,Inverter,Anti-Viral Filter,3,White,35000,2023-05-30,1,4.2,Allahabad,Reliance Digital,12,In Stock,12,Positive,No,NULL,Resolved,2023-07-04,Allahabad,Lloyd 1 Ton 3 Star Inverter Split AC,user113
32,Washing Machine,Top Load,Lloyd LWMT80,NULL,NULL,8,NULL,6D Wash,Near Zero Pressure,5,Black,20000,2023-04-08,2,4.1,Amritsar,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-05-13,Amritsar,Lloyd 8 kg 5 Star Fully-Automatic Top Load Washing Machine,user224
33,Refrigerator,Single Door,Lloyd GLDF195SBBT2EB,NULL,188,NULL,NULL,Direct Cool,Toughened Glass Shelves,5,Red,15000,2023-03-01,1,4.2,Vijayawada,Flipkart,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-05,Vijayawada,Lloyd 188 L 5 Star Direct Cool Single Door Refrigerator,user335
34,Water Purifier,RO,Digitouch,NULL,6,NULL,NULL,RO+UV+Alkaline,Touch Panel,NULL,Champagne,28000,2023-02-18,1,4.8,Srinagar,Tata Cliq,15,In Stock,12,Positive,No,NULL,Resolved,2023-03-25,Srinagar,Havells Digitouch 6-litres RO+UV+Alkaline Water Purifier,user446
35,Fans,Exhaust Fan,Ventilair DXW,NULL,NULL,NULL,NULL,NULL,Automatic Shutter,NULL,White,1800,2023-06-05,1,4.3,Aurangabad,Amazon,8,In Stock,12,Positive,No,NULL,Resolved,2023-07-10,Aurangabad,Havells Ventilair DXW-A 250mm Exhaust Fan,user557
36,Air Cooler,Personal,Tusker,NULL,18,NULL,NULL,Honeycomb Pads,Ice Compartment,NULL,Grey,5500,2023-05-22,1,3.7,Solapur,Croma,10,In Stock,12,Neutral,No,NULL,Resolved,2023-06-26,Solapur,Havells Tusker 18L Personal Air Cooler,user668
37,Geyser,Storage,Magnatron,NULL,15,NULL,NULL,Glassline Inner Container,Whirlflow Technology,5,White,10000,2023-03-15,2,4.6,Ranchi,Flipkart,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-19,Ranchi,Havells Magnatron 15 L Storage Water Heater,user779
38,Kitchen Appliances,Juicer Mixer Grinder,Nutri Art,NULL,NULL,NULL,NULL,2-in-1 Juicing & Blending,Pulp container,NULL,Black,6000,2023-02-28,2,4.1,Jodhpur,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-04-04,Jodhpur,Havells Nutri Art 200W Juicer Mixer Grinder,user890
39,Fans,Ceiling Fan,Stealth Air,NULL,NULL,NULL,NULL,Aerodynamic Profile Blades,Dust Resistant,5,Pearl White,5000,2023-01-05,2,4.4,Guwahati,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-10,Guwahati,Havells Stealth Air 1200mm Ceiling Fan,user991
40,Air Conditioner,Split AC,Lloyd GLS18I3FWAMC,1.5,NULL,NULL,NULL,Inverter,Cools at 52°C,3,White,40000,2023-05-15,1,4,Gwalior,Reliance Digital,15,In Stock,12,Positive,No,NULL,Resolved,2023-06-19,Gwalior,Lloyd 1.5 Ton 3 Star Inverter Split AC,user114
41,Washing Machine,Front Load,Lloyd LWMF70,NULL,NULL,7,NULL,Inverter Motor,Eco Wash,5,White,28000,2023-04-01,2,4.3,Madurai,Amazon,12,In Stock,24,Positive,No,NULL,Resolved,2023-05-06,Madurai,Lloyd 7 kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine,user225
42,Refrigerator,Double Door,Lloyd GLFF312ADST2EB,NULL,312,NULL,NULL,Frost Free,Movable Ice Tray,2,Steel,28000,2023-03-25,1,4,Hubli,Flipkart,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-29,Hubli,Lloyd 312 L 2 Star Frost Free Double Door Refrigerator,user336
43,Water Purifier,UV,Delite,NULL,6.5,NULL,NULL,UV+UF,Revitalizer,NULL,Sea Green,10000,2023-02-11,1,4.5,Salem,Tata Cliq,10,In Stock,12,Positive,No,NULL,Resolved,2023-03-18,Salem,Havells Delite 6.5-litres UV+UF Water Purifier,user447
44,Fans,Wall Fan,Swing LX,NULL,NULL,NULL,NULL,NULL,Jerk Free Oscillation,NULL,White,2200,2023-06-22,2,4.1,Tiruchirappalli,Amazon,8,In Stock,24,Positive,No,NULL,Resolved,2023-07-27,Tiruchirappalli,Havells Swing LX 400mm Wall Fan,user558
45,Air Cooler,Desert,Koolaire,NULL,51,NULL,NULL,Honeycomb Pads,Powerful Air Delivery,NULL,Grey,9000,2023-05-05,1,3.9,Bhubaneswar,Croma,10,In Stock,12,Neutral,No,NULL,Resolved,2023-06-09,Bhubaneswar,Havells Koolaire 51L Desert Air Cooler,user669
46,Geyser,Instant,Opal,NULL,1,NULL,NULL,NULL,Shock Safe Plug,NULL,White,3000,2023-03-08,2,4.4,Dehradun,Flipkart,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-12,Dehradun,Havells Opal 1 L Instant Water Heater,user780
47,Kitchen Appliances,Sandwich Maker,Toastino,NULL,NULL,NULL,NULL,Non-stick plates,Hinged lock,NULL,Black,1200,2023-02-22,1,4.2,Mysore,Amazon,10,In Stock,12,Positive,No,NULL,Resolved,2023-03-29,Mysore,Havells Toastino 4-Slice Sandwich Maker,user891
48,Fans,Ceiling Fan,Leganza,NULL,NULL,NULL,NULL,4 Blade,Exotic Blade Trims,NULL,Bronze-Gold,6000,2023-01-18,2,4.5,Thiruvananthapuram,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-22,Thiruvananthapuram,Havells Leganza 1200mm Ceiling Fan,user992
49,Air Conditioner,Split AC,Lloyd GLS18I5FWGAV,1.5,NULL,NULL,NULL,Inverter,Green Bio Filter,5,White,48000,2023-05-01,1,4.3,Kochi,Reliance Digital,15,In Stock,12,Positive,No,NULL,Resolved,2023-06-05,Kochi,Lloyd 1.5 Ton 5 Star Inverter Split AC,user115
50,Washing Machine,Semi-Automatic,Lloyd LWMS80,NULL,NULL,8,NULL,4 Wash Program,Buzzer,5,Blue,11000,2023-04-18,2,3.8,Udaipur,Amazon,8,In Stock,24,Neutral,No,NULL,Resolved,2023-05-23,Udaipur,Lloyd 8 kg Semi-Automatic Top Loading Washing Machine,user226
51,Refrigerator,Side-by-Side,Lloyd GLSF600DGLT1EB,NULL,600,NULL,NULL,Inverter,Holiday Mode,NULL,Glass,80000,2023-03-11,1,4.6,Jalandhar,Flipkart,20,In Stock,12,Positive,No,NULL,Resolved,2023-04-15,Jalandhar,Lloyd 600 L Frost Free Side-by-Side Refrigerator,user337
52,Water Purifier,Alkaline,Fab,NULL,7,NULL,NULL,Alkaline,i-Protect Purification,NULL,White,15000,2023-02-04,1,4.6,Warangal,Tata Cliq,15,In Stock,12,Positive,No,NULL,Resolved,2023-03-11,Warangal,Havells Fab 7-litres Alkaline Water Purifier,user448
53,Fans,Table Fan,Velocity,NULL,NULL,NULL,NULL,NULL,Aerodynamically designed blades,NULL,Blue,2000,2023-06-28,2,4.2,Guntur,Amazon,5,In Stock,24,Positive,No,NULL,Resolved,2023-08-02,Guntur,Havells Velocity 400mm Table Fan,user559
54,Air Cooler,Tower,Momenta,NULL,36,NULL,NULL,Honeycomb Pads,Remote Control,NULL,White,9500,2023-05-28,1,4.1,Noida,Croma,10,In Stock,12,Positive,No,NULL,Resolved,2023-07-02,Noida,Havells Momenta 36L Tower Air Cooler,user670
55,Geyser,Gas,Proton,NULL,6,NULL,NULL,NULL,Child Lock,NULL,White,5500,2023-03-02,2,4.3,Gurgaon,Flipkart,10,In Stock,24,Positive,No,NULL,Resolved,2023-04-06,Gurgaon,Havells Proton 6 L Gas Water Heater,user781
56,Kitchen Appliances,Air Fryer,ProLife Digi,NULL,4,NULL,NULL,Air Filtration System,Auto Shut-off,NULL,Black,9000,2023-02-15,2,4.5,Bhavnagar,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-03-22,Bhavnagar,Havells ProLife Digi 1230-Watt Air Fryer,user892
57,Fans,Ceiling Fan,Amelia,NULL,NULL,NULL,NULL,BLDC Motor,Smart Mode,5,Ivory,6500,2023-01-28,2,4.7,Jamnagar,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-03-04,Jamnagar,Havells Amelia 1200mm Ceiling Fan,user993
58,Air Conditioner,Split AC,Lloyd GLS12I5FWGEV,1,NULL,NULL,NULL,Inverter,Golden Eva Coils,5,White,40000,2023-05-20,1,4.4,Cuttack,Reliance Digital,12,In Stock,12,Positive,No,NULL,Resolved,2023-06-24,Cuttack,Lloyd 1 Ton 5 Star Inverter Split AC,user116
59,Washing Machine,Top Load,Lloyd LWMT70,NULL,NULL,7,NULL,5D Wash,Fuzzy Logic,5,Grey,17000,2023-04-25,2,4,Bikaner,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-05-30,Bikaner,Lloyd 7 kg 5 Star Fully-Automatic Top Load Washing Machine,user227
60,Refrigerator,Single Door,Lloyd GLDF215SBBT2EB,NULL,215,NULL,NULL,Direct Cool,Stabilizer Free Operation,5,Maroon,17000,2023-03-22,1,4.3,Aligarh,Flipkart,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-26,Aligarh,Lloyd 215 L 5 Star Direct Cool Single Door Refrigerator,user338
61,Water Purifier,RO,Zinger,NULL,6.5,NULL,NULL,RO+UV,Mineral Corrector,NULL,Silver,18000,2023-02-21,1,4.5,Kolhapur,Tata Cliq,10,In Stock,12,Positive,No,NULL,Resolved,2023-03-28,Kolhapur,Havells Zinger 6.5-litres RO+UV Water Purifier,user449
62,Fans,Exhaust Fan,Ventilair DSP,NULL,NULL,NULL,NULL,NULL,Powder Coated Finish,NULL,Grey,2000,2023-06-12,1,4,Siliguri,Amazon,8,In Stock,12,Positive,No,NULL,Resolved,2023-07-17,Siliguri,Havells Ventilair DSP 230mm Exhaust Fan,user560
63,Air Cooler,Personal,Cielo,NULL,22,NULL,NULL,Honeycomb Pads,Thermal Overload Protection,NULL,White,6500,2023-05-16,1,3.8,Ujjain,Croma,10,In Stock,12,Neutral,No,NULL,Resolved,2023-06-20,Ujjain,Havells Cielo 22L Personal Air Cooler,user671
64,Geyser,Storage,Puro Plus,NULL,25,NULL,NULL,Incoloy Glass Coated Heating Element,Adjustable Knob,5,Ivory,11000,2023-03-19,2,4.4,Jhansi,Flipkart,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-23,Jhansi,Havells Puro Plus 25 L Storage Water Heater,user782
65,Kitchen Appliances,Oven Toaster Griller (OTG),Premia,NULL,24,NULL,NULL,6-element design,Motorized rotisserie,NULL,Black,7000,2023-02-07,1,4.3,Nellore,Amazon,10,In Stock,12,Positive,No,NULL,Resolved,2023-03-14,Nellore,Havells Premia 24-Litre Oven Toaster Griller,user893
66,Fans,Ceiling Fan,Efficiencia Neo,NULL,NULL,NULL,NULL,BLDC Motor,Energy Saving,5,Brown,3200,2023-01-11,2,4.2,Erode,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-15,Erode,Havells Efficiencia Neo 1200mm Ceiling Fan,user994
67,Air Conditioner,Split AC,Lloyd GLS24I5FWGAV,2,NULL,NULL,NULL,Inverter,4-way Swing,5,White,60000,2023-05-04,1,4.2,Belgaum,Reliance Digital,15,In Stock,12,Positive,No,NULL,Resolved,2023-06-08,Belgaum,Lloyd 2 Ton 5 Star Inverter Split AC,user117
68,Washing Machine,Front Load,Lloyd LWMF90,NULL,NULL,9,NULL,Inverter Motor,Allergy Safe,5,Graphite,35000,2023-04-11,2,4.4,Mangalore,Amazon,12,In Stock,24,Positive,No,NULL,Resolved,2023-05-16,Mangalore,Lloyd 9 kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine,user228
69,Refrigerator,Double Door,Lloyd GLFF342ADST2EB,NULL,342,NULL,NULL,Frost Free,Deodorizer,2,Steel,32000,2023-03-04,1,4.1,Tirunelveli,Flipkart,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-08,Tirunelveli,Lloyd 342 L 2 Star Frost Free Double Door Refrigerator,user339
70,Water Purifier,UV,Active,NULL,5,NULL,NULL,UV,Dual-layer protection,NULL,White,8000,2023-02-27,1,4.3,Malappuram,Tata Cliq,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-03,Malappuram,Havells Active 5-litres UV Water Purifier,user450
71,Fans,Wall Fan,Hi-Speed,NULL,NULL,NULL,NULL,NULL,High Speed Motor,NULL,Black,2500,2023-06-15,2,4.3,Thrissur,Amazon,8,In Stock,24,Positive,No,NULL,Resolved,2023-07-20,Thrissur,Havells Hi-Speed 400mm Wall Fan,user561
72,Air Cooler,Desert,Superb,NULL,65,NULL,NULL,Honeycomb Pads,3-Side Cooling,NULL,White,10000,2023-05-09,1,3.7,Kollam,Croma,10,In Stock,12,Neutral,No,NULL,Resolved,2023-06-13,Kollam,Havells Superb 65L Desert Air Cooler,user672
73,Geyser,Instant,Carlo,NULL,3,NULL,NULL,NULL,Stainless Steel Tank,NULL,White,4000,2023-03-26,2,4.5,Palakkad,Flipkart,12,In Stock,24,Positive,No,NULL,Resolved,2023-04-30,Palakkad,Havells Carlo 3 L Instant Water Heater,user783
74,Kitchen Appliances,Blender,Power Blend,NULL,1.5,NULL,NULL,3-speed control,Pulse function,NULL,Black,4000,2023-02-14,2,4.2,Kottayam,Amazon,10,In Stock,24,Positive,No,NULL,Resolved,2023-03-21,Kottayam,Havells Power Blend 1000W Blender,user894
75,Fans,Ceiling Fan,Florence,NULL,NULL,NULL,NULL,Underlight,Pull-cord operation,NULL,Antique Brass,8000,2023-01-25,2,4.6,Kannur,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-03-01,Kannur,Havells Florence 1200mm Underlight Ceiling Fan,user995
76,Air Conditioner,Split AC,Lloyd GLS18I3FWGEV,1.5,NULL,NULL,NULL,Inverter,PM 2.5 Filter,3,White,42000,2023-05-25,1,4.1,Kozhikode,Reliance Digital,15,In Stock,12,Positive,No,NULL,Resolved,2023-06-29,Kozhikode,Lloyd 1.5 Ton 3 Star Inverter Split AC,user118
77,Washing Machine,Semi-Automatic,Lloyd LWMS90,NULL,NULL,9,NULL,5 Wash Program,Magic Filter,5,Red,12000,2023-04-04,2,3.7,Alappuzha,Amazon,8,In Stock,24,Neutral,No,NULL,Resolved,2023-05-09,Alappuzha,Lloyd 9 kg Semi-Automatic Top Loading Washing Machine,user229
78,Refrigerator,Side-by-Side,Lloyd GLSF580DGLT1EB,NULL,580,NULL,NULL,Inverter,Water & Ice Dispenser,NULL,Glass,90000,2023-03-29,1,4.7,Nagercoil,Flipkart,20,In Stock,12,Positive,No,NULL,Resolved,2023-05-03,Nagercoil,Lloyd 580 L Frost Free Side-by-Side Refrigerator,user340
79,Water Purifier,Alkaline,Delite DX,NULL,6.5,NULL,NULL,Alkaline+RO+UV,Triple Protection,NULL,Sea Green,19000,2023-02-09,1,4.6,Thoothukudi,Tata Cliq,15,In Stock,12,Positive,No,NULL,Resolved,2023-03-16,Thoothukudi,Havells Delite DX 6.5-litres Alkaline Water Purifier,user451
80,Fans,Table Fan,I-Cool,NULL,NULL,NULL,NULL,NULL,Remote Control,NULL,White,3000,2023-06-08,2,4.3,Tiruppur,Amazon,5,In Stock,24,Positive,No,NULL,Resolved,2023-07-13,Tiruppur,Havells I-Cool 400mm Table Fan,user562
81,Air Cooler,Tower,Aura,NULL,35,NULL,NULL,Honeycomb Pads,Auto Drain,NULL,White,8500,2023-05-24,1,4,Vellore,Croma,10,In Stock,12,Positive,No,NULL,Resolved,2023-06-28,Vellore,Havells Aura 35L Tower Air Cooler,user673
82,Geyser,Gas,Powerflame,NULL,6,NULL,NULL,NULL,Flame Failure Device,NULL,White,6000,2023-03-29,2,4.4,Kakinada,Flipkart,10,In Stock,24,Positive,No,NULL,Resolved,2023-05-03,Kakinada,Havells Powerflame 6 L Gas Water Heater,user784
83,Kitchen Appliances,Hand Blender,Power Mix,NULL,NULL,NULL,NULL,Detachable stem,2-speed setting,NULL,White,1500,2023-02-19,1,4.1,Rajahmundry,Amazon,8,In Stock,12,Positive,No,NULL,Resolved,2023-03-26,Rajahmundry,Havells Power Mix Hand Blender,user895
84,Fans,Ceiling Fan,Octet,NULL,NULL,NULL,NULL,8 Blade,Wider Air Delivery,NULL,Pearl White-Silver,9000,2023-01-08,2,4.5,Anantapur,Havells Store,5,In Stock,24,Positive,No,NULL,Resolved,2023-02-12,Anantapur,Havells Octet 1320mm Ceiling Fan,user996
85,Air Conditioner,Split AC,Lloyd GLS12I3FWGAV,1,NULL,NULL,NULL,Inverter,Self Diagnosis,3,White,36000,2023-05-18,1,4,Kurnool,Reliance Digital,12,In Stock,12,Positive,No,NULL,Resolved,2023-06-22,Kurnool,Lloyd 1 Ton 3 Star Inverter Split AC,user119
86,Washing Machine,Top Load,Lloyd LWMT65,NULL,NULL,6.5,NULL,4D Wash,Auto Restart,5,Maroon,16000,2023-04-29,2,3.9,Karimnagar,Amazon,10,In Stock,24,Neutral,No,NULL,Resolved,2023-06-03,Karimnagar,Lloyd 6.5 kg 5 Star Fully-Automatic Top Load Washing Machine,user230
87,Refrigerator,Single Door,Lloyd GLDF235SBBT2EB,NULL,235,NULL,NULL,Direct Cool,Anti-Bacterial Gasket,5,Silver,18000,2023-03-14,1,4.2,Nizamabad,Flipkart,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-18,Nizamabad,Lloyd 235 L 5 Star Direct Cool Single Door Refrigerator,user341
88,Water Purifier,RO,Prime,NULL,8,NULL,NULL,RO+UV,Absolute Safety,NULL,White,13000,2023-02-24,1,4.4,Khammam,Tata Cliq,10,In Stock,12,Positive,No,NULL,Resolved,2023-04-01,Khammam,Havells Prime 8-litres RO+UV Water Purifier,user452
89,Fans,Exhaust Fan,Ventilair Sleek,NULL,NULL,NULL,NULL,NULL,Stylish Design,NULL,White,1600,2023-06-19,1,4.2,Ramagundam,Amazon,8,In Stock,12,Positive,No,NULL,Resolved,2023-07-24,Ramagundam,Havells Ventilair Sleek 150mm Exhaust Fan,user563
